Questions,Answers
maybe you're right.,maybe we should get going.
are you married?,no. i'm divorced.
no. i'm divorced.,when did you get divorced?
when did you get divorced?,i got divorced two years ago.
i got divorced two years ago.,why did you get divorced?
why did you get divorced?,my wife left me.
my wife left me.,why did she leave you?
why did she leave you?,she said she didn't love me anymore.
she said she didn't love me anymore.,wow! that's terrible.
wow! that's terrible.,"yes, it was."
"yes, it was.",why didn't she love you anymore?
why didn't she love you anymore?,she fell in love with my best friend.
i'm bored.,what's on tv?
what's on tv?,nothing.
nothing.,there must be something on tv!
there must be something on tv!,nothing that's interesting.
nothing that's interesting.,what about that new game show?
what about that new game show?,which one?
which one?,"""deal or no deal"""
"""deal or no deal""",tell me you're joking.
tell me you're joking.,i love that show.
i love that show.,i watched it once. that was enough.
i watched it once. that was enough.,it's on right now. let's watch it together.
i like living here.,i agree. pasadena is a nice city.
i agree. pasadena is a nice city.,it's not too big.
it's not too big.,and it's not too small.
and it's not too small.,it has great weather all year long.
it has great weather all year long.,it has the rose parade.
it has the rose parade.,it has beautiful houses.
it has beautiful houses.,it has wonderful restaurants.
it has wonderful restaurants.,it has great schools.
it has great schools.,it's close to the mountains.
it's close to the mountains.,the people are friendly.
the people are friendly.,i'm not ever going to leave.
we need a new mattress.,what's the matter with this one?
what's the matter with this one?,it's not comfortable.
it's not comfortable.,it seems fine to me.
it seems fine to me.,i toss and turn all night.
i toss and turn all night.,you should stop drinking coffee.
you should stop drinking coffee.,look at these marks on my arms.
look at these marks on my arms.,what are they?
what are they?,they are bites.
they are bites.,did the cat bite you?
did the cat bite you?,no. the bedbugs in that mattress bit me.
no. the bedbugs in that mattress bit me.,okay. let's get a new mattress.
my laptop is so slow.,buy a new one.
buy a new one.,i would if i had the money.
i would if i had the money.,why is it so slow?
why is it so slow?,that's a good question.
that's a good question.,did you take it to a computer shop?
did you take it to a computer shop?,i would if i had the money.
i would if i had the money.,"well, i guess you have to live with it."
"well, i guess you have to live with it.",sometimes i want to throw it out the window.
sometimes i want to throw it out the window.,you don't want to do that.
you don't want to do that.,why not?
why not?,you might hit someone in the head.
what's for dinner?,i'm not sure.
i'm not sure.,how about a pizza?
how about a pizza?,you had pizza for lunch.
you had pizza for lunch.,but i love pizza.
but i love pizza.,everybody loves pizza.
everybody loves pizza.,so why can't i have pizza for dinner?
so why can't i have pizza for dinner?,because you need variety.
because you need variety.,"what's ""variety?"
"what's ""variety?",different things????€?not the same thing all the time.
different things????€?not the same thing all the time.,"you mean, like a pepperoni pizza instead of a cheese pizza?"
"you mean, like a pepperoni pizza instead of a cheese pizza?","no, i mean a salad instead of a pizza."
we need to save money.,why do we need to save money?
why do we need to save money?,because we need to buy a house.
because we need to buy a house.,but a house is so expensive.
but a house is so expensive.,that's why we need to save money.
that's why we need to save money.,how much do we need to save?
how much do we need to save?,we need to save enough for a down payment.
we need to save enough for a down payment.,how much is that?
how much is that?,"that's about $30,000."
"that's about $30,000.",thirty thousand dollars! that will take forever.
thirty thousand dollars! that will take forever.,not if we save every penny.
not if we save every penny.,okay. here's seven pennies.
the ocean is so big.,you can't see the end of it.
you can't see the end of it.,it goes on and on forever.
it goes on and on forever.,"and it's deep, too."
"and it's deep, too.",i think it's five miles deep.
i think it's five miles deep.,are there fish at the bottom?
are there fish at the bottom?,there are fish at the top and the bottom.
there are fish at the top and the bottom.,are there more fish or more people?
are there more fish or more people?,i think there are more fish.
i think there are more fish.,i hope so. i love to eat fish.
i'm upset with my mom.,why is that?
why is that?,i warned her about her new boyfriend. she didn't listen to me.
i warned her about her new boyfriend. she didn't listen to me.,what happened?
what happened?,"i gave her $1,000 for her birthday. i told her to spend it on herself."
"i gave her $1,000 for her birthday. i told her to spend it on herself.",that was very nice of you.
that was very nice of you.,i found out that she gave it to her new boyfriend.
i found out that she gave it to her new boyfriend.,why did she do that?
why did she do that?,he said he would buy her a nice ring.
he said he would buy her a nice ring.,what's wrong with that?
what's wrong with that?,he went to las vegas. he lost it all gambling.
he went to las vegas. he lost it all gambling.,i hope your mom broke up with him.
do animals talk to each other?,of course they talk to each other.
of course they talk to each other.,what do they talk about?
what do they talk about?,they talk about other animals.
they talk about other animals.,what else do they talk about?
what else do they talk about?,they talk about food and the weather.
they talk about food and the weather.,do they talk about us?
do they talk about us?,of course they talk about us.
of course they talk about us.,what do they say about us?
what do they say about us?,they say that we are funny-looking.
they say that we are funny-looking.,ha! we're not funny-looking; animals are funny-looking.
ha! we're not funny-looking; animals are funny-looking.,we're funny-looking because we wear clothes.
i have to clean the house.,"yes, it's very dirty."
"yes, it's very dirty.",you can help me.
you can help me.,why me?
why me?,because you helped make it dirty.
because you helped make it dirty.,what do you want me to do?
what do you want me to do?,i want you to clean the bathroom.
i want you to clean the bathroom.,"oh, that's easy."
"oh, that's easy.","clean the sink, the tub, the counter, and the toilet."
"clean the sink, the tub, the counter, and the toilet.",that's a lot of work.
that's a lot of work.,tell me when you finish.
tell me when you finish.,i don't think so. you'll just give me more work.
you're watching too much tv.,what do you mean?
what do you mean?,i mean you're wasting your life.
i mean you're wasting your life.,i'm having fun.
i'm having fun.,you're sitting there with your mouth open.
you're sitting there with your mouth open.,who cares?
who cares?,i care. do something.
i care. do something.,okay. i did something.
okay. i did something.,what did you do?
what did you do?,i turned up the volume.
i turned up the volume.,"that's not what i meant by ""do something."""
"that's not what i meant by ""do something.""",will you do something? leave me alone.
did you write a letter to grandma?,"yes, i did."
"yes, i did.",did you tell her about school?
did you tell her about school?,i told her that school is fun.
i told her that school is fun.,did you put the letter in an envelope?
did you put the letter in an envelope?,"yes, and i sealed the envelope."
"yes, and i sealed the envelope.",did you put a stamp on the envelope?
did you put a stamp on the envelope?,i couldn't find any stamps.
i couldn't find any stamps.,they're in the kitchen drawer.
they're in the kitchen drawer.,okay. i just put a stamp on the envelope.
okay. i just put a stamp on the envelope.,"give me the envelope, and i'll mail it for you."
"give me the envelope, and i'll mail it for you.",when is grandma going to learn about e-mail?
why are you yawning?,i'm sleepy.
i'm sleepy.,why don't you go to bed?
why don't you go to bed?,i want to watch this tv show.
i want to watch this tv show.,maybe you should record it.
maybe you should record it.,the tape recorder is broken.
the tape recorder is broken.,then you should watch the rerun.
then you should watch the rerun.,why? i'm watching the original.
why? i'm watching the original.,but you'll be asleep in about one minute.
but you'll be asleep in about one minute.,i'm just yawning because the commercials are on.
i'm just yawning because the commercials are on.,okay. i'll tell you how the show ends.
okay. i'll tell you how the show ends.,zzz.
it's sunday.,so?
so?,you know what that means.
you know what that means.,i forgot.
i forgot.,sunday means we go to church.
sunday means we go to church.,"oh, yeah."
"oh, yeah.",put on a coat and tie.
put on a coat and tie.,why?
why?,to show respect to god and others.
to show respect to god and others.,i'm glad sunday is only once a week.
i'm glad sunday is only once a week.,i hope god didn't hear that.
i hope god didn't hear that.,he'll forgive me.
did you feed the cat?,i'll do that in a minute.
i'll do that in a minute.,the cat is meowing. he's hungry.
the cat is meowing. he's hungry.,okay. i'll feed him right now.
okay. i'll feed him right now.,you shouldn't make him wait.
you shouldn't make him wait.,i was doing my homework.
i was doing my homework.,the cat doesn't care about your homework.
the cat doesn't care about your homework.,the cat doesn't care about anything.
the cat doesn't care about anything.,that's the way cats are.
that's the way cats are.,all they think about is themselves.
all they think about is themselves.,maybe we should get rid of him.
maybe we should get rid of him.,of course not! he's family.
i hate shaving.,me too.
me too.,i just cut myself again.
i just cut myself again.,did you use a new blade?
did you use a new blade?,"it doesn't matter. old blades cut, new blades cut."
"it doesn't matter. old blades cut, new blades cut.",maybe you should use an electric shaver.
maybe you should use an electric shaver.,"they make a lot of noise, but they don't give a close shave."
"they make a lot of noise, but they don't give a close shave.",maybe you should stop shaving.
maybe you should stop shaving.,and grow a beard?
and grow a beard?,sure. why not?
sure. why not?,because food and other stuff sticks in my beard.
because food and other stuff sticks in my beard.,hmm. here's an idea. put cream on your face and have the cat lick it off.
excuse me.,yes?
yes?,are you reading this paper?
are you reading this paper?,"oh, no. help yourself."
"oh, no. help yourself.",i asked because the paper is sitting next to you.
i asked because the paper is sitting next to you.,thank you. that's polite of you to ask.
thank you. that's polite of you to ask.,some people would just pick it up.
some people would just pick it up.,"yes, i know. some people are rude."
"yes, i know. some people are rude.",i always try to be polite.
i always try to be polite.,so do i.
so do i.,the world needs more polite people like us.
the world needs more polite people like us.,i agree 100 percent.
"mom, i want a puppy.",let me think about it.
let me think about it.,why do you have to think about it?
why do you have to think about it?,because a puppy costs money.
because a puppy costs money.,"no, it doesn't. puppies are free."
"no, it doesn't. puppies are free.","yes, but a puppy needs shots."
"yes, but a puppy needs shots.",shots for what?
shots for what?,so it won't get sick. just like you get shots.
so it won't get sick. just like you get shots.,i hate shots.
i hate shots.,and a puppy eats food. food costs money.
and a puppy eats food. food costs money.,no problem. i'll give him food off my plate.
no problem. i'll give him food off my plate.,"oh, no you don't. puppies don't eat vegetables."
look at all these kittens!,how many are there?
how many are there?,eight.
eight.,they're all so cute.
they're all so cute.,"yes, but i can't keep them."
"yes, but i can't keep them.",what are you going to do with them?
what are you going to do with them?,i'm going to give them away. do you want one?
i'm going to give them away. do you want one?,"yes, i would love one."
"yes, i would love one.",which one do you want?
which one do you want?,that one. the one that's all black.
that one. the one that's all black.,"yes, i like that one, too."
"yes, i like that one, too.",i'll call him blacky.
my parents go to church every sunday.,they trust in god.
they trust in god.,they hope they will go to heaven.
they hope they will go to heaven.,they probably will.
they probably will.,but no one knows for sure.
but no one knows for sure.,that's for sure.
that's for sure.,no one knows what happens after we die.
no one knows what happens after we die.,"if we are good, we will be happy in heaven with god."
"if we are good, we will be happy in heaven with god.",that's what many people believe.
that's what many people believe.,"if we are bad, we will be unhappy forever in hell."
"if we are bad, we will be unhappy forever in hell.",i don't want to go to hell.
i don't want to go to hell.,let's go to church with your parents on sunday.
my husband died.,i'm sorry for you.
i'm sorry for you.,thank you.
thank you.,when did he die?
when did he die?,a couple of months ago.
a couple of months ago.,you still miss him.
you still miss him.,"yes, but i talk to him almost every day."
"yes, but i talk to him almost every day.",when you go to church?
when you go to church?,"no, when i call him on his cell phone."
"no, when i call him on his cell phone.",what do you mean?
what do you mean?,i buried him with his cell phone.
i buried him with his cell phone.,what will you do when the battery dies?
today is friday the thirteenth.,that's a bad day.
that's a bad day.,it's supposed to be unlucky.
it's supposed to be unlucky.,you're supposed to stay home all day.
you're supposed to stay home all day.,that's what i do.
that's what i do.,my friend stayed in a hotel on friday the thirteenth.
my friend stayed in a hotel on friday the thirteenth.,that was a mistake.
that was a mistake.,he stayed on the thirteenth floor.
he stayed on the thirteenth floor.,what happened?
what happened?,someone stole his laptop.
someone stole his laptop.,he was asking for it.
he was asking for it.,he learned his lesson. he's home today.
do you really love me?,of course.
of course.,prove it.
prove it.,how can i prove it?
how can i prove it?,take me to dinner.
take me to dinner.,that's it? that's all i have to do?
that's it? that's all i have to do?,"take me to a nice restaurant, not to mcdonald's."
"take me to a nice restaurant, not to mcdonald's.",but a nice restaurant costs money.
but a nice restaurant costs money.,"yes, and you have to make a reservation."
"yes, and you have to make a reservation.",that's such a hassle.
that's such a hassle.,i knew you didn't love me.
i knew you didn't love me.,"okay, okay! i'll make a reservation right now."
my parents are divorced.,so are mine.
so are mine.,why did your parents get divorced?
why did your parents get divorced?,my father found a new girlfriend.
my father found a new girlfriend.,that's too bad.
that's too bad.,my mother was hurt and angry.
my mother was hurt and angry.,she had good reason. what did she do?
she had good reason. what did she do?,she told him to drop his girlfriend.
she told him to drop his girlfriend.,what did your father do?
what did your father do?,he moved out of our house.
he moved out of our house.,i guess he really liked his new girlfriend.
i guess he really liked his new girlfriend.,"yes, but she left him a year later."
my grandma's apartment smells funny.,so does mine.
so does mine.,i think it's an old people's smell.
i think it's an old people's smell.,really?
really?,"yes. i think when you get old, you begin to smell."
"yes. i think when you get old, you begin to smell.",like fruit that is too ripe?
like fruit that is too ripe?,"yes, just like fruit that is too ripe."
"yes, just like fruit that is too ripe.",but the smell is different.
but the smell is different.,"yes, old people don't smell like fruit."
"yes, old people don't smell like fruit.","no, they smell like a thrift shop."
"no, they smell like a thrift shop.","yes, a thrift shop has that same smell."
"yes, a thrift shop has that same smell.","yes, an old smell."
the price of stamps goes up and up.,i think stamps used to cost a penny.
i think stamps used to cost a penny.,that was a long time ago.
that was a long time ago.,it was before i was born.
it was before i was born.,now a stamp is 42 cents.
now a stamp is 42 cents.,but in may it will be 44 cents.
but in may it will be 44 cents.,have you ever lost a letter in the mail?
have you ever lost a letter in the mail?,"no, i haven't."
"no, i haven't.",neither have i.
neither have i.,"so, they do a good job for the money."
"so, they do a good job for the money.","yes, they do."
"yes, they do.",maybe we shouldn't complain.
a button came off my shirt.,what are you going to do?
what are you going to do?,"first, i have to find the button."
"first, i have to find the button.",where did you lose it?
where did you lose it?,i have no idea.
i have no idea.,a button is hard to find. did you look in your pant cuffs?
a button is hard to find. did you look in your pant cuffs?,that's a good idea.
that's a good idea.,i found a button in my pant cuffs one time.
i found a button in my pant cuffs one time.,"let me look. no, it's not there."
"let me look. no, it's not there.",many shirts come with an extra button.
many shirts come with an extra button.,you're right. this one does have an extra button.
you're right. this one does have an extra button.,now all you have to do is sew it on.
i have to go to the bathroom.,you drink too much coffee.
you drink too much coffee.,but i love coffee.
but i love coffee.,"well, it's your life."
"well, it's your life.",you eat too much chocolate.
you eat too much chocolate.,i don't think so.
i don't think so.,have you looked in the mirror?
have you looked in the mirror?,do you think i'm getting fat?
do you think i'm getting fat?,i didn't say that.
i didn't say that.,what did you say?
what did you say?,i said i have to go to the bathroom.
i said i have to go to the bathroom.,that's what i thought you said.
did you do the laundry?,"yes, i did."
"yes, i did.",what did you wash?
what did you wash?,i washed the sheets and towels.
i washed the sheets and towels.,what about the pillowcases?
what about the pillowcases?,"yes, i took them off the pillows and washed them."
"yes, i took them off the pillows and washed them.",did you dry everything in the dryer?
did you dry everything in the dryer?,"yes, i dried everything in the dryer."
"yes, i dried everything in the dryer.",then what did you do?
then what did you do?,i folded all the towels.
i folded all the towels.,did you put the sheets on the beds?
did you put the sheets on the beds?,"yes, and i put the pillowcases on the pillows."
do you listen to the radio?,i listen day and night.
i listen day and night.,what do you listen to?
what do you listen to?,mostly talk radio.
mostly talk radio.,what's that?
what's that?,people talk about current events.
people talk about current events.,what do they say?
what do they say?,they say they want change.
they say they want change.,what kind of change?
what kind of change?,they want tax cuts.
they want tax cuts.,why do they want tax cuts?
why do they want tax cuts?,because tax cuts will save them money.
"mom, i'm hungry.",look in the fridge.
look in the fridge.,i'm looking. there's nothing to eat.
i'm looking. there's nothing to eat.,are you sure?
are you sure?,it's almost empty.
it's almost empty.,i went to the market yesterday.
i went to the market yesterday.,i don't see anything.
i don't see anything.,i bought lots of oranges and apples.
i bought lots of oranges and apples.,i don't want fruit. i want something tasty.
i don't want fruit. i want something tasty.,eat the fruit. it's good for you.
eat the fruit. it's good for you.,"next time you go to the market, let me go with you."
"next time you go to the market, let me go with you.","no, thank you. all you want to eat are hot dogs and candy bars."
what is there to eat?,i don't know. look in the fridge.
i don't know. look in the fridge.,i think i'll make a sandwich.
i think i'll make a sandwich.,what kind?
what kind?,a ham sandwich.
a ham sandwich.,the bread is in the cabinet.
the bread is in the cabinet.,where's the mustard?
where's the mustard?,"it's in the fridge, i think."
"it's in the fridge, i think.","oh, yes, here it is. do you want a sandwich?"
"oh, yes, here it is. do you want a sandwich?","yes, that sounds nice."
"yes, that sounds nice.",how about some potato chips?
how about some potato chips?,"yes. and a pickle, if we have any."
"it's time for your bath, young lady.","but, mom, i'm not dirty."
"but, mom, i'm not dirty.",you need a bath every day.
you need a bath every day.,why?
why?,because you don't want to smell bad.
because you don't want to smell bad.,i don't smell bad.
i don't smell bad.,that's what you think.
that's what you think.,"if i smelled bad, i could smell me."
"if i smelled bad, i could smell me.",i can smell you.
i can smell you.,"i can smell you, too."
"i can smell you, too.",that's my perfume.
that's my perfume.,when can i wear perfume?
something's wrong with my computer.,exactly what?
exactly what?,all i get is a black screen.
all i get is a black screen.,what's the matter?
what's the matter?,"i think i know, because this happened before."
"i think i know, because this happened before.",what happened before?
what happened before?,my hard drive crashed.
my hard drive crashed.,"oh, no. that's bad news."
"oh, no. that's bad news.","it sure is, but i'm going to call hp first, just to make sure."
"it sure is, but i'm going to call hp first, just to make sure.",will you lose all your files?
will you lose all your files?,"no, i always back up my files."
"no, i always back up my files.",you're smart.
i called hp about my computer.,what did they say?
what did they say?,they said i need a new hard drive.
they said i need a new hard drive.,that's too bad. how much is a new one?
that's too bad. how much is a new one?,"it's not too much, only about $85."
"it's not too much, only about $85.",plus installation?
plus installation?,"no, my hard drive is easy to remove and replace."
"no, my hard drive is easy to remove and replace.",really?
really?,"yes, it's just a couple of screws."
"yes, it's just a couple of screws.",that's nice.
that's nice.,it's a lot better than paying someone $60.
it's a lot better than paying someone $60.,"if my hard drive crashes, i'll just call you."
what's your email address?,it's bluedog123.
it's bluedog123.,bluedog123. are you sure that's all?
bluedog123. are you sure that's all?,yes.
yes.,no. that's incomplete.
no. that's incomplete.,what do you mean?
what do you mean?,what's your mailing address?
what's your mailing address?,"456 cherry drive, pasadena, ca 91170."
"456 cherry drive, pasadena, ca 91170.",that's correct.
that's correct.,so what's the problem?
so what's the problem?,"bluedog123 is just the street. you have to give me the city, state, and zip code."
"bluedog123 is just the street. you have to give me the city, state, and zip code.","oh, i get it. my email address is bluedog123@yahoo.com."
i'm going to take a nap.,you should unplug the phone.
you should unplug the phone.,that's a good idea.
that's a good idea.,do you want me to wake you in an hour?
do you want me to wake you in an hour?,"no, thanks. just let me sleep until i wake up."
"no, thanks. just let me sleep until i wake up.",i'll start dinner at 6:00.
i'll start dinner at 6:00.,okay. i think i'll be awake by then.
okay. i think i'll be awake by then.,"if not, your nose will wake you up."
"if not, your nose will wake you up.",you mean i will smell the food cooking?
you mean i will smell the food cooking?,you might even dream about dinner.
you might even dream about dinner.,i don't think i'm going to dream about anything. i'm really tired.
i don't think i'm going to dream about anything. i'm really tired.,have a nice nap.
that was a nice funeral.,"yes, dad, it was."
"yes, dad, it was.",the son gave a nice speech about his father.
the son gave a nice speech about his father.,"it was long, too."
"it was long, too.",i think it was about 45 minutes long.
i think it was about 45 minutes long.,but it went by fast. it was interesting.
but it went by fast. it was interesting.,i liked it.
i liked it.,"i'll give you a speech like that, too."
"i'll give you a speech like that, too.",do you think anyone will come to my funeral?
do you think anyone will come to my funeral?,of course.
of course.,i think only the family will be there.
i think only the family will be there.,"you have lots of friends. they will be there, too!"
yikes! what was that noise?,i had to blow my nose.
i had to blow my nose.,did you have to blow right next to the phone?
did you have to blow right next to the phone?,did you hear that?
did you hear that?,of course i heard that. i thought a plane had crashed into your house.
of course i heard that. i thought a plane had crashed into your house.,it wasn't that loud.
it wasn't that loud.,"i will blow my nose sometime for you, and you'll see."
"i will blow my nose sometime for you, and you'll see.",okay. i'll take your word for it.
okay. i'll take your word for it.,i thought you had an elephant in your house.
i thought you had an elephant in your house.,you're funny.
you're funny.,what did you say? i think i've gone deaf.
what did you say? i think i've gone deaf.,i'm going into the bathroom to blow my nose. i'll be right back.
i have lots of friends.,really? how many do you have?
really? how many do you have?,"i don't know, maybe one hundred."
"i don't know, maybe one hundred.",that is a lot of friends. do you have a best friend?
that is a lot of friends. do you have a best friend?,of course. i have lots of best friends.
of course. i have lots of best friends.,how many best friends do you have?
how many best friends do you have?,i think about twenty-five.
i think about twenty-five.,hmm. i have only one best friend.
hmm. i have only one best friend.,i feel sorry for you.
i feel sorry for you.,i have only a few friends.
i have only a few friends.,you must be lonely. i will share my friends with you.
you must be lonely. i will share my friends with you.,that's very nice of you.
don't you ever cheat on me.,why would i do that?
why would i do that?,because men like to cheat.
because men like to cheat.,"some men do, but not me."
"some men do, but not me.",i'm watching you.
i'm watching you.,i'm an open book. watch me all you want.
i'm an open book. watch me all you want.,"if i catch you, you'll be sorry."
"if i catch you, you'll be sorry.","you won't catch me, because i love you. i'm not a cheater."
"you won't catch me, because i love you. i'm not a cheater.",i will poke your eyes out. 
i will poke your eyes out. ,i don't want any other woman.
i don't want any other woman.,"i will chop your toes off, one by one."
"i will chop your toes off, one by one.","honey, please. you're the only woman for me, forever. i swear it."
i hate to go outside.,me too.
me too.,why do you hate to go outside?
why do you hate to go outside?,i meet too many jerks.
i meet too many jerks.,i agree.
i agree.,this city is full of jerks.
this city is full of jerks.,rude people are everywhere.
rude people are everywhere.,but what can you do?
but what can you do?,you can yell at them.
you can yell at them.,and they will yell back at you.
and they will yell back at you.,yelling doesn't do any good.
yelling doesn't do any good.,no. the best thing to do is just stay home.
will you look at this form?,are you having problems with it?
are you having problems with it?,i don't understand some things.
i don't understand some things.,let me help you.
let me help you.,"what does ""mi"" mean?"
"what does ""mi"" mean?","""mi"" stands for middle initial."
"""mi"" stands for middle initial.","what does ""mm/dd/yy"" mean?"
"what does ""mm/dd/yy"" mean?",that means month/day/year. use numbers.
that means month/day/year. use numbers.,i don't understand.
i don't understand.,"for example, if your birth date is january 12, 1987, write 01/12/87."
"for example, if your birth date is january 12, 1987, write 01/12/87.",oh. that's simple enough.
oh. that's simple enough.,"always print clearly, and fill in the bubbles completely."
let's go to the animal shelter.,what do you want to do?
what do you want to do?,i want to get a puppy for my son.
i want to get a puppy for my son.,that will make him so happy.
that will make him so happy.,i'll get him one of those little dogs.
i'll get him one of those little dogs.,one that won't grow up too big.
one that won't grow up too big.,and eat too much.
and eat too much.,do you know which one he would like?
do you know which one he would like?,"oh, yes, i took him there yesterday. he showed me one that he really liked."
"oh, yes, i took him there yesterday. he showed me one that he really liked.",i bet you had to drag him away.
i bet you had to drag him away.,he wanted to take it home yesterday.
he wanted to take it home yesterday.,i wonder what he'll name it.
what's the weather like?,i don't know. i just woke up.
i don't know. i just woke up.,why don't you look outside?
why don't you look outside?,okay. it looks like rain.
okay. it looks like rain.,why do you say that?
why do you say that?,the sky is gray.
the sky is gray.,is it raining right now?
is it raining right now?,no.
no.,how do you know?
how do you know?,the street isn't wet.
the street isn't wet.,i have to go shopping today.
i have to go shopping today.,you'd better take an umbrella.
i can't believe how hot it is.,it's not even noon yet.
it's not even noon yet.,that means it will get hotter.
that means it will get hotter.,i am dying from the heat.
i am dying from the heat.,turn on the air conditioner.
turn on the air conditioner.,it doesn't work.
it doesn't work.,what happened?
what happened?,i don't know.
i don't know.,did you call the repairman?
did you call the repairman?,of course.
of course.,when is he coming?
when is he coming?,he's busy. he said next week.
i'll be glad when winter comes.,why is that?
why is that?,because i love the snow.
because i love the snow.,"yes, the snow is fun."
"yes, the snow is fun.",last year we made a big snowman.
last year we made a big snowman.,how big was it?
how big was it?,it was seven feet tall.
it was seven feet tall.,how long did it take?
how long did it take?,it took us all day.
it took us all day.,did you give him a nose?
did you give him a nose?,of course. we gave him a big carrot for a nose.
of course. we gave him a big carrot for a nose.,let me help you make one this year.
i'm going to the bank.,what do you need to do?
what do you need to do?,i need to withdraw some money.
i need to withdraw some money.,how are you going to do that?
how are you going to do that?,i'll just use the atm.
i'll just use the atm.,what's that?
what's that?,it's the automatic teller machine.
it's the automatic teller machine.,it gives you money?
it gives you money?,i just insert my debit card into the machine.
i just insert my debit card into the machine.,and it gives you money?
and it gives you money?,"well, it gives me money, but it's my own money."
"well, it gives me money, but it's my own money.",oh. what good is that? i thought it gave you free money.
did you put the blue bin out on the street?,"oh, no. i forgot."
"oh, no. i forgot.","well, you'd better take it out front."
"well, you'd better take it out front.",what time does the recycle truck come by?
what time does the recycle truck come by?,"it usually gets here at noon on tuesday, which is tomorrow."
"it usually gets here at noon on tuesday, which is tomorrow.",i'll just take it out to the street tomorrow morning.
i'll just take it out to the street tomorrow morning.,"oh, no, you don't."
"oh, no, you don't.",what do you mean?
what do you mean?,every morning you get up late and rush off to work late.
every morning you get up late and rush off to work late.,do you think i'll forget to do it?
do you think i'll forget to do it?,"you'll remember to do it, but you won't have time to do it."
"you'll remember to do it, but you won't have time to do it.","okay, i'll take it out front right now."
are you ready?,ready for what?
ready for what?,ready for the big switch.
ready for the big switch.,what are you talking about?
what are you talking about?,the nation is switching to digital tv.
the nation is switching to digital tv.,oh. of course i'm ready.
oh. of course i'm ready.,did you buy the converter?
did you buy the converter?,"no, i don't need a converter because i bought a digital tv."
"no, i don't need a converter because i bought a digital tv.",how much was that?
how much was that?,it was only about $120 for a 13-inch screen.
it was only about $120 for a 13-inch screen.,does it pick up any digital channels?
does it pick up any digital channels?,"oh, yes. i get six korean channels but nothing in english!"
people are funny.,they sure are.
they sure are.,did you hear about the pilot?
did you hear about the pilot?,the one that stole a small plane?
the one that stole a small plane?,"yes, he stole a plane in canada and flew into the u.s."
"yes, he stole a plane in canada and flew into the u.s.",did they catch him?
did they catch him?,"yes. after two u.s. fighter jets followed him for an hour, he landed on a highway."
"yes. after two u.s. fighter jets followed him for an hour, he landed on a highway.",did he crash?
did he crash?,"no, he just landed the plane and walked to a restaurant."
"no, he just landed the plane and walked to a restaurant.",did the cops find out why he flew into the u.s.?
did the cops find out why he flew into the u.s.?,his life sucked. he was hoping a fighter jet would shoot him down.
his life sucked. he was hoping a fighter jet would shoot him down.,poor guy.
the police need our help finding a robber.,how do you know?
how do you know?,the tv news is reporting a bank robbery.
the tv news is reporting a bank robbery.,do they know what the robber looks like?
do they know what the robber looks like?,"yes, he's 6 feet tall, 200 pounds, black hair, and about 30 years old."
"yes, he's 6 feet tall, 200 pounds, black hair, and about 30 years old.",what race is he?
what race is he?,they didn't say.
they didn't say.,the tv news doesn't tell us the race anymore.
the tv news doesn't tell us the race anymore.,of course not. that would be racist.
of course not. that would be racist.,but how can we identify someone if we don't know their race?
but how can we identify someone if we don't know their race?,don't ask me.
don't ask me.,"then they also shouldn't tell us if the robber is male or female, because that is sexist."
don't wipe your nose on your sleeve.,but i don't have a tissue.
but i don't have a tissue.,then go find a tissue in the bathroom.
then go find a tissue in the bathroom.,i didn't have time to get one from there.
i didn't have time to get one from there.,your sleeves are not tissues.
your sleeves are not tissues.,"but mom, all my friends use their sleeves."
"but mom, all my friends use their sleeves.",that doesn't make it right.
that doesn't make it right.,i saw dad wipe his nose on his sleeve yesterday.
i saw dad wipe his nose on his sleeve yesterday.,i will talk to your father about that.
i will talk to your father about that.,i bet dad did it all the time when he was my age.
i bet dad did it all the time when he was my age.,your daddy was a good little boy.
your daddy was a good little boy.,"how do you know? were you his mommy, too?"
i'm worried.,worried about what?
worried about what?,i'm getting married.
i'm getting married.,"you should be happy, not worried."
"you should be happy, not worried.","i am happy, but marriage is a lot of responsibility."
"i am happy, but marriage is a lot of responsibility.","yes, you have to take care of your wife."
"yes, you have to take care of your wife.",and i have to take care of our children.
and i have to take care of our children.,are you going to start a family?
are you going to start a family?,yes. we want to have a little boy and a little girl.
yes. we want to have a little boy and a little girl.,that sounds wonderful.
that sounds wonderful.,except we can't afford it!
except we can't afford it!,no wonder you're worried.
i don't get art.,or artists.
or artists.,they're in a different world.
they're in a different world.,i saw a painting of a jar that was full of pencils.
i saw a painting of a jar that was full of pencils.,the artist said the jar was both full and empty.
the artist said the jar was both full and empty.,but it was full of pencils! how could he say it was empty?
but it was full of pencils! how could he say it was empty?,artists see things differently.
artists see things differently.,did you ever see anything that picasso painted?
did you ever see anything that picasso painted?,of course! he's world famous.
of course! he's world famous.,did he ever take art lessons?
did he ever take art lessons?,i can't believe it. i drew paintings like that in third grade.
i can't believe it. i drew paintings like that in third grade.,where are they? maybe they are worth millions.
what's the point?,the point of what?
the point of what?,of living.
of living.,"who knows? you live, and then you die."
"who knows? you live, and then you die.",we must be here for some reason.
we must be here for some reason.,maybe we're here to have fun.
maybe we're here to have fun.,then why aren't i having fun?
then why aren't i having fun?,because you're thinking too much.
because you're thinking too much.,so i should stop thinking?
so i should stop thinking?,stop thinking about what the point is.
